"aggregateFacet","parent.transportDuration","tags.moog_BU","namespaceName","spanId","request.headers.contentLength","parent.type","response.headers.contentType","host","tags.BusinessApplicationCINumber","tags.BusinessApplicationCIName","error.message","tags.OarK8sClusterCI","tags.account","http.statusCode","deploymentName","tags.NASA_Found","nodeName","tags.NASA_CrawlPoint","entityGuid","tripId","realAgentId","transactionUiName","request.headers.userAgent","request.method","tags.SNowCI_AppSuite","tags.OarResourceGroup","tags.OarSegment","tags.ApplicationServiceCINumber","sampled","tags.ApplicationServiceCIName","tags.OarEnvironment","parent.account","request.uri","httpResponseCode","tags.SNowCIName_AppSuite","tags.OarBusinessUnit","traceId","tags.moog_region","jvm.thread_name","clusterName","tags.trustedAccountId","duration","appName","tags.moog_app_alias","error.expected","request.headers.host","parent.app","tags.accountId","tags.mitdc_sre_env","port","guid","externalCallCount","tags.NR_EntityName","tags.OarRegion","entity.guid","externalDuration","tags.moog_team","containerName","tags.OarManagedByGroup","request.headers.accept","transactionName","tags.OarSubscription","error.class","podName","parent.transportType","tags.moog_division","tags.SNowCIName_AppSuite_Team","appId","timestamp","priority"
"WebTransaction/SpringController/${openapi.ePosWepAppBFFService.base-path:}/v2/{countryCode}/agents/{agentCode}/customers/{customerId}/application (POST)::com.manulife.ap.pos.common.core.exception.PosFeignExceptionV2","0.003","Singapore","ns-sgp-pos-system","931438eb1216576b","58938","App","application/json","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-mt2hb","APM0001932","ML ePOS - Singapore","0001044204","BSN0001588","MLF-PROD","400","dep-pos-apply-sgp-28-0-0-20","true","aks-nodepooln3-94666342-vmss0001d9","true","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","6826e99c087582972f7174b382abd2b2","1016033951","/${openapi.ePosWepAppBFFService.base-path:}/v2/{countryCode}/agents/{agentCode}/customers/{customerId}/application (POST)","okhttp/4.12.0","POST","CI00001852493","SEA-EMM-AKSPROD-Production-01","Asia","CI00003550090","True","ML ePOS - Singapore - Prod","Production","1737705","/v2/sgp/agents/0EK51/customers/0940a7b6-24df-e9db-1fac-9c2306eebf81/application","400","ML ePOS - Singapore","JapanSharedSvc","6826e99c087582972f7174b382abd2b2","prod","http-nio-8080-exec-10","aks-sea-emm-prd","2075532","0.04","pos-apply-sgp-aks-sea-emm-prd","ePOS","False","svc-pos-apply-sgp.ns-sgp-pos-system:8080","942160381","1737705","prod","0","268060da5dc855ff","2.0","pos-apply-sgp-aks-sea-emm-prd","Azure - Southeast Asia","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","0.023245208","Application-Support-IPRC-SG","pos-apply-sgp-28-0-0-20","ETS-Hosting-Cloud-IPRC-Asia","application/json","WebTransaction/SpringController/${openapi.ePosWepAppBFFService.base-path:}/v2/{countryCode}/agents/{agentCode}/customers/{customerId}/application (POST)","MFC-Asia-Production_Internal-S3","com.manulife.ap.pos.common.core.exception.PosFeignExceptionV2","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-mt2hb","HTTP","Asia","Application-Support-IPRC-SG","942161131","1747380636485","1.145554"
"WebTransaction/SpringController/${openapi.ePosWepAppBFFService.base-path:}/v2/{countryCode}/agents/{agentCode}/customers/{customerId}/application (POST)::com.manulife.ap.pos.common.core.exception.PosFeignExceptionV2","0.0","Singapore","ns-sgp-pos-system","b1cdcc80a0224016","58938","App","application/json","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-mt2hb","APM0001932","ML ePOS - Singapore","0001044204","BSN0001588","MLF-PROD","400","dep-pos-apply-sgp-28-0-0-20","true","aks-nodepooln3-94666342-vmss0001d9","true","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","6826e5f791eae0d90dac7ce910790a9a","1016033951","/${openapi.ePosWepAppBFFService.base-path:}/v2/{countryCode}/agents/{agentCode}/customers/{customerId}/application (POST)","okhttp/4.12.0","POST","CI00001852493","SEA-EMM-AKSPROD-Production-01","Asia","CI00003550090","True","ML ePOS - Singapore - Prod","Production","1737705","/v2/sgp/agents/0EK51/customers/0940a7b6-24df-e9db-1fac-9c2306eebf81/application","400","ML ePOS - Singapore","JapanSharedSvc","6826e5f791eae0d90dac7ce910790a9a","prod","http-nio-8080-exec-5","aks-sea-emm-prd","2075532","0.093","pos-apply-sgp-aks-sea-emm-prd","ePOS","False","svc-pos-apply-sgp.ns-sgp-pos-system:8080","942160381","1737705","prod","0","e4372fc4039b9721","2.0","pos-apply-sgp-aks-sea-emm-prd","Azure - Southeast Asia","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","0.059004523","Application-Support-IPRC-SG","pos-apply-sgp-28-0-0-20","ETS-Hosting-Cloud-IPRC-Asia","application/json","WebTransaction/SpringController/${openapi.ePosWepAppBFFService.base-path:}/v2/{countryCode}/agents/{agentCode}/customers/{customerId}/application (POST)","MFC-Asia-Production_Internal-S3","com.manulife.ap.pos.common.core.exception.PosFeignExceptionV2","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-mt2hb","HTTP","Asia","Application-Support-IPRC-SG","942161131","1747379703400","1.031203"
"WebTransaction/SpringController/${openapi.ePosWepAppBFFService.base-path:}/v2/{countryCode}/agents/{agentCode}/customers/{customerId}/application (POST)::com.manulife.ap.pos.common.core.exception.PosFeignExceptionV2","0.0","Singapore","ns-sgp-pos-system","c361a17c7ff861ac","58938","App","application/json","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-jb6cm","APM0001932","ML ePOS - Singapore","0001044204","BSN0001588","MLF-PROD","400","dep-pos-apply-sgp-28-0-0-20","true","aks-nodepooln3-94666342-vmss00016f","true","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","6826e5e69872aae3e3aa21fa9463ceaf","1091663731","/${openapi.ePosWepAppBFFService.base-path:}/v2/{countryCode}/agents/{agentCode}/customers/{customerId}/application (POST)","okhttp/4.12.0","POST","CI00001852493","SEA-EMM-AKSPROD-Production-01","Asia","CI00003550090","True","ML ePOS - Singapore - Prod","Production","1737705","/v2/sgp/agents/0EK51/customers/0940a7b6-24df-e9db-1fac-9c2306eebf81/application","400","ML ePOS - Singapore","JapanSharedSvc","6826e5e69872aae3e3aa21fa9463ceaf","prod","http-nio-8080-exec-8","aks-sea-emm-prd","2075532","0.033","pos-apply-sgp-aks-sea-emm-prd","ePOS","False","svc-pos-apply-sgp.ns-sgp-pos-system:8080","942160381","1737705","prod","0","eb211a6b2326778c","2.0","pos-apply-sgp-aks-sea-emm-prd","Azure - Southeast Asia","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","0.021909436","Application-Support-IPRC-SG","pos-apply-sgp-28-0-0-20","ETS-Hosting-Cloud-IPRC-Asia","application/json","WebTransaction/SpringController/${openapi.ePosWepAppBFFService.base-path:}/v2/{countryCode}/agents/{agentCode}/customers/{customerId}/application (POST)","MFC-Asia-Production_Internal-S3","com.manulife.ap.pos.common.core.exception.PosFeignExceptionV2","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-jb6cm","HTTP","Asia","Application-Support-IPRC-SG","942161131","1747379686677","1.173655"
"WebTransaction/SpringController/${openapi.pOSAPPLYBUSINESSCORESERVICE.base-path:}/v1/{countryCode}/agents/{agentCode}/customers/{customerId}/applications/{applicationId}/documents/{docType} (GET)::com.manulife.ap.pos.common.core.exception.PosRuntimeException","0.004","Singapore","ns-sgp-pos-system","e572cf94ba4c107e",,"App","text/plain;charset=UTF-8","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-9tmng","APM0001932","ML ePOS - Singapore","DOC_NOT_AUTHORIZED[]","BSN0001588","MLF-PROD","403","dep-pos-apply-sgp-28-0-0-20","true","aks-nodepooln3-94666342-vmss0001gk","true","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","4e978d633290e53527c90a1734e98e40","1022474579","/${openapi.pOSAPPLYBUSINESSCORESERVICE.base-path:}/v1/{countryCode}/agents/{agentCode}/customers/{customerId}/applications/{applicationId}/documents/{docType} (GET)","okhttp/4.12.0","GET","CI00001852493","SEA-EMM-AKSPROD-Production-01","Asia","CI00003550090","True","ML ePOS - Singapore - Prod","Production","1737705","/v1/sgp/agents/01407/customers/7737d15b-7b3a-d473-c93d-0581f62237af/applications/0000100162/documents/TPP_PARTIAL_DOCUMENT","403","ML ePOS - Singapore","JapanSharedSvc","4e978d633290e53527c90a1734e98e40","prod","http-nio-8080-exec-9","aks-sea-emm-prd","2075532","0.021","pos-apply-sgp-aks-sea-emm-prd","ePOS","False","svc-pos-apply-sgp.ns-sgp-pos-system:8080","942160381","1737705","prod","0","496c76539c272ac0","2.0","pos-apply-sgp-aks-sea-emm-prd","Azure - Southeast Asia","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","0.016893355","Application-Support-IPRC-SG","pos-apply-sgp-28-0-0-20","ETS-Hosting-Cloud-IPRC-Asia","*/*","WebTransaction/SpringController/${openapi.pOSAPPLYBUSINESSCORESERVICE.base-path:}/v1/{countryCode}/agents/{agentCode}/customers/{customerId}/applications/{applicationId}/documents/{docType} (GET)","MFC-Asia-Production_Internal-S3","com.manulife.ap.pos.common.core.exception.PosRuntimeException","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-9tmng","HTTP","Asia","Application-Support-IPRC-SG","942161131","1747377548392","1.076831"
"WebTransaction/SpringController/${openapi.pOSAPPLYBUSINESSCORESERVICE.base-path:}/v1/{countryCode}/agents/{agentCode}/customers/{customerId}/applications/{applicationId}/documents/{docType} (GET)::com.manulife.ap.pos.common.core.exception.PosRuntimeException","0.012","Singapore","ns-sgp-pos-system","c4a03ebb3d031084",,"App","text/plain;charset=UTF-8","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-rlv4t","APM0001932","ML ePOS - Singapore","DOC_NOT_AUTHORIZED[]","BSN0001588","MLF-PROD","403","dep-pos-apply-sgp-28-0-0-20","true","aks-nodepooln2-32025218-vmss0001qf","true","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","95012a54ec59226eb0f346a3bc08f090","973080976","/${openapi.pOSAPPLYBUSINESSCORESERVICE.base-path:}/v1/{countryCode}/agents/{agentCode}/customers/{customerId}/applications/{applicationId}/documents/{docType} (GET)","okhttp/4.12.0","GET","CI00001852493","SEA-EMM-AKSPROD-Production-01","Asia","CI00003550090","True","ML ePOS - Singapore - Prod","Production","1737705","/v1/sgp/agents/01407/customers/7737d15b-7b3a-d473-c93d-0581f62237af/applications/0000100162/documents/TPP_PARTIAL_DOCUMENT","403","ML ePOS - Singapore","JapanSharedSvc","95012a54ec59226eb0f346a3bc08f090","prod","http-nio-8080-exec-7","aks-sea-emm-prd","2075532","0.022","pos-apply-sgp-aks-sea-emm-prd","ePOS","False","svc-pos-apply-sgp.ns-sgp-pos-system:8080","942160381","1737705","prod","0","305e2730bd33cc9a","2.0","pos-apply-sgp-aks-sea-emm-prd","Azure - Southeast Asia","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","0.01887068","Application-Support-IPRC-SG","pos-apply-sgp-28-0-0-20","ETS-Hosting-Cloud-IPRC-Asia","*/*","WebTransaction/SpringController/${openapi.pOSAPPLYBUSINESSCORESERVICE.base-path:}/v1/{countryCode}/agents/{agentCode}/customers/{customerId}/applications/{applicationId}/documents/{docType} (GET)","MFC-Asia-Production_Internal-S3","com.manulife.ap.pos.common.core.exception.PosRuntimeException","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-rlv4t","HTTP","Asia","Application-Support-IPRC-SG","942161131","1747377538523","1.494286"
"WebTransaction/SpringController/${openapi.pOSAPPLYBUSINESSCORESERVICE.base-path:}/v1/{countryCode}/agents/{agentCode}/customers/{customerId}/applications/{applicationId}/documents/{docType} (GET)::com.manulife.ap.pos.common.core.exception.PosRuntimeException","0.0","Singapore","ns-sgp-pos-system","0058b816feac28d4",,"App","text/plain;charset=UTF-8","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-jb6cm","APM0001932","ML ePOS - Singapore","DOC_NOT_AUTHORIZED[]","BSN0001588","MLF-PROD","403","dep-pos-apply-sgp-28-0-0-20","true","aks-nodepooln3-94666342-vmss00016f","true","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","f44dbc7f0154b9e697cc7a778a7c2260","1091663731","/${openapi.pOSAPPLYBUSINESSCORESERVICE.base-path:}/v1/{countryCode}/agents/{agentCode}/customers/{customerId}/applications/{applicationId}/documents/{docType} (GET)","okhttp/4.12.0","GET","CI00001852493","SEA-EMM-AKSPROD-Production-01","Asia","CI00003550090","True","ML ePOS - Singapore - Prod","Production","1737705","/v1/sgp/agents/01407/customers/7737d15b-7b3a-d473-c93d-0581f62237af/applications/0000100162/documents/TPP_PARTIAL_DOCUMENT","403","ML ePOS - Singapore","JapanSharedSvc","f44dbc7f0154b9e697cc7a778a7c2260","prod","http-nio-8080-exec-9","aks-sea-emm-prd","2075532","0.023","pos-apply-sgp-aks-sea-emm-prd","ePOS","False","svc-pos-apply-sgp.ns-sgp-pos-system:8080","942160381","1737705","prod","0","71f21af9bf2ac382","2.0","pos-apply-sgp-aks-sea-emm-prd","Azure - Southeast Asia","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","0.015918879","Application-Support-IPRC-SG","pos-apply-sgp-28-0-0-20","ETS-Hosting-Cloud-IPRC-Asia","*/*","WebTransaction/SpringController/${openapi.pOSAPPLYBUSINESSCORESERVICE.base-path:}/v1/{countryCode}/agents/{agentCode}/customers/{customerId}/applications/{applicationId}/documents/{docType} (GET)","MFC-Asia-Production_Internal-S3","com.manulife.ap.pos.common.core.exception.PosRuntimeException","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-jb6cm","HTTP","Asia","Application-Support-IPRC-SG","942161131","1747377036243","1.358228"
"WebTransaction/SpringController/${openapi.pOSAPPLYBUSINESSCORESERVICE.base-path:}/v1/{countryCode}/agents/{agentCode}/customers/{customerId}/applications/{applicationId}/documents/{docType} (GET)::com.manulife.ap.pos.common.core.exception.PosRuntimeException","0.001","Singapore","ns-sgp-pos-system","1fe7a6aa7b4efdc9",,"App","text/plain;charset=UTF-8","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-xb88v","APM0001932","ML ePOS - Singapore","DOC_NOT_AUTHORIZED[]","BSN0001588","MLF-PROD","403","dep-pos-apply-sgp-28-0-0-20","true","aks-nodepooln4-91741787-vmss0000ge","true","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","c179b95a0d9aaf84868e7d93e840d3a0","1038551436","/${openapi.pOSAPPLYBUSINESSCORESERVICE.base-path:}/v1/{countryCode}/agents/{agentCode}/customers/{customerId}/applications/{applicationId}/documents/{docType} (GET)","okhttp/4.12.0","GET","CI00001852493","SEA-EMM-AKSPROD-Production-01","Asia","CI00003550090","True","ML ePOS - Singapore - Prod","Production","1737705","/v1/sgp/agents/01407/customers/7737d15b-7b3a-d473-c93d-0581f62237af/applications/0000100162/documents/TPP_PARTIAL_DOCUMENT","403","ML ePOS - Singapore","JapanSharedSvc","c179b95a0d9aaf84868e7d93e840d3a0","prod","http-nio-8080-exec-4","aks-sea-emm-prd","2075532","0.027","pos-apply-sgp-aks-sea-emm-prd","ePOS","False","svc-pos-apply-sgp.ns-sgp-pos-system:8080","942160381","1737705","prod","0","0272aed8a40702d8","2.0","pos-apply-sgp-aks-sea-emm-prd","Azure - Southeast Asia","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","0.020263365","Application-Support-IPRC-SG","pos-apply-sgp-28-0-0-20","ETS-Hosting-Cloud-IPRC-Asia","*/*","WebTransaction/SpringController/${openapi.pOSAPPLYBUSINESSCORESERVICE.base-path:}/v1/{countryCode}/agents/{agentCode}/customers/{customerId}/applications/{applicationId}/documents/{docType} (GET)","MFC-Asia-Production_Internal-S3","com.manulife.ap.pos.common.core.exception.PosRuntimeException","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-xb88v","HTTP","Asia","Application-Support-IPRC-SG","942161131","1747377034201","1.398274"
"WebTransaction/SpringController/${openapi.ePosWepAppBFFService.base-path:}/v1/{countryCode}/agents/{agentCode}/customers/{customerId}/group/{groupId}/applicationData (GET)::com.manulife.ap.pos.common.transformation.exception.TransformationRuntimeException",,"Singapore","ns-sgp-pos-system","a76c06a1869a65ce",,,"text/plain;charset=UTF-8","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-rlv4t","APM0001932","ML ePOS - Singapore","Failed to read json string.","BSN0001588","MLF-PROD","500","dep-pos-apply-sgp-28-0-0-20","true","aks-nodepooln2-32025218-vmss0001qf","true","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","f432d6813348a79f4328ff718debc1d6","973080976","/${openapi.ePosWepAppBFFService.base-path:}/v1/{countryCode}/agents/{agentCode}/customers/{customerId}/group/{groupId}/applicationData (GET)","PostmanRuntime/7.43.4","GET","CI00001852493","SEA-EMM-AKSPROD-Production-01","Asia","CI00003550090","True","ML ePOS - Singapore - Prod","Production",,"/v1/sgp/agents/0N108/customers/45d362b3-ddb2-0831-614d-85247320d50c/group/0b6a69e6-49a4-4aa4-b795-478c0e2b7a52/applicationData","500","ML ePOS - Singapore","JapanSharedSvc","f432d6813348a79f4328ff718debc1d6","prod","http-nio-8080-exec-5","aks-sea-emm-prd","2075532","0.016","pos-apply-sgp-aks-sea-emm-prd","ePOS","False","pos-apply-sgp.ns-sgp-pos-system",,"1737705","prod","0","bfa13bdfd00b68a5","1.0","pos-apply-sgp-aks-sea-emm-prd","Azure - Southeast Asia","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","0.008131726","Application-Support-IPRC-SG","pos-apply-sgp-28-0-0-20","ETS-Hosting-Cloud-IPRC-Asia","*/*","WebTransaction/SpringController/${openapi.ePosWepAppBFFService.base-path:}/v1/{countryCode}/agents/{agentCode}/customers/{customerId}/group/{groupId}/applicationData (GET)","MFC-Asia-Production_Internal-S3","com.manulife.ap.pos.common.transformation.exception.TransformationRuntimeException","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-rlv4t","HTTP","Asia","Application-Support-IPRC-SG","942161131","1747373448999","1.371597"
"WebTransaction/SpringController/${openapi.ePosWepAppBFFService.base-path:}/v2/{countryCode}/agents/{agentCode}/customers/{customerId}/application (POST)::com.manulife.ap.pos.common.core.exception.PosFeignExceptionV2","0.0","Singapore","ns-sgp-pos-system","6a3c27a928b2f509","79108","App","application/json","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-jb6cm","APM0001932","ML ePOS - Singapore","0001043994","BSN0001588","MLF-PROD","400","dep-pos-apply-sgp-28-0-0-20","true","aks-nodepooln3-94666342-vmss00016f","true","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","39a1d4b943b8910f376e3e66efa05420","1091663731","/${openapi.ePosWepAppBFFService.base-path:}/v2/{countryCode}/agents/{agentCode}/customers/{customerId}/application (POST)","okhttp/4.12.0","POST","CI00001852493","SEA-EMM-AKSPROD-Production-01","Asia","CI00003550090","True","ML ePOS - Singapore - Prod","Production","1737705","/v2/sgp/agents/0FA44/customers/d78dbd3d-30ce-177c-28fd-9579219440e1/application","400","ML ePOS - Singapore","JapanSharedSvc","39a1d4b943b8910f376e3e66efa05420","prod","http-nio-8080-exec-9","aks-sea-emm-prd","2075532","0.026","pos-apply-sgp-aks-sea-emm-prd","ePOS","False","svc-pos-apply-sgp.ns-sgp-pos-system:8080","942160381","1737705","prod","0","9280151434f90801","1.0","pos-apply-sgp-aks-sea-emm-prd","Azure - Southeast Asia","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","0.013438905","Application-Support-IPRC-SG","pos-apply-sgp-28-0-0-20","ETS-Hosting-Cloud-IPRC-Asia","application/json","WebTransaction/SpringController/${openapi.ePosWepAppBFFService.base-path:}/v2/{countryCode}/agents/{agentCode}/customers/{customerId}/application (POST)","MFC-Asia-Production_Internal-S3","com.manulife.ap.pos.common.core.exception.PosFeignExceptionV2","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-jb6cm","HTTP","Asia","Application-Support-IPRC-SG","942161131","1747369657904","1.69365"
"WebTransaction/SpringController/${openapi.ePosWepAppBFFService.base-path:}/v2/{countryCode}/agents/{agentCode}/customers/{customerId}/application (POST)::com.manulife.ap.pos.common.core.exception.PosFeignExceptionV2","0.016","Singapore","ns-sgp-pos-system","7ffa493f05451745","79108","App","application/json","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-rlv4t","APM0001932","ML ePOS - Singapore","0001043994","BSN0001588","MLF-PROD","400","dep-pos-apply-sgp-28-0-0-20","true","aks-nodepooln2-32025218-vmss0001qf","true","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","6a1f83794e6ddb456c550fb08e91b520","973080976","/${openapi.ePosWepAppBFFService.base-path:}/v2/{countryCode}/agents/{agentCode}/customers/{customerId}/application (POST)","okhttp/4.12.0","POST","CI00001852493","SEA-EMM-AKSPROD-Production-01","Asia","CI00003550090","True","ML ePOS - Singapore - Prod","Production","1737705","/v2/sgp/agents/0FA44/customers/d78dbd3d-30ce-177c-28fd-9579219440e1/application","400","ML ePOS - Singapore","JapanSharedSvc","6a1f83794e6ddb456c550fb08e91b520","prod","http-nio-8080-exec-5","aks-sea-emm-prd","2075532","0.029","pos-apply-sgp-aks-sea-emm-prd","ePOS","False","svc-pos-apply-sgp.ns-sgp-pos-system:8080","942160381","1737705","prod","0","103362e008d4ef67","1.0","pos-apply-sgp-aks-sea-emm-prd","Azure - Southeast Asia","MTczNzcwNXxBUE18QVBQTElDQVRJT058OTQyMTYxMTMx","0.013436634","Application-Support-IPRC-SG","pos-apply-sgp-28-0-0-20","ETS-Hosting-Cloud-IPRC-Asia","application/json","WebTransaction/SpringController/${openapi.ePosWepAppBFFService.base-path:}/v2/{countryCode}/agents/{agentCode}/customers/{customerId}/application (POST)","MFC-Asia-Production_Internal-S3","com.manulife.ap.pos.common.core.exception.PosFeignExceptionV2","dep-pos-apply-sgp-28-0-0-20-5f9b49dc68-rlv4t","HTTP","Asia","Application-Support-IPRC-SG","942161131","1747369650849","1.92199"
